   lxc-monitord 20170223215423.819 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20170223215454.389 NOTICE   lxc_monitord - lxc_monitord.c:main:426 - No remaining clients. lxc-monitord is exiting.
   lxc-monitord 20170223215454.390 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170223215546.354 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170223215546.354 NOTICE   lxc_monitord - lxc_monitord.c:main:422 - lxc-monitord with pid 14525 is now monitoring lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170223215546.357 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20170223215617.689 NOTICE   lxc_monitord - lxc_monitord.c:main:426 - No remaining clients. lxc-monitord is exiting.
   lxc-monitord 20170223215617.689 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170223215620.357 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170223215620.357 NOTICE   lxc_monitord - lxc_monitord.c:main:422 - lxc-monitord with pid 14668 is now monitoring lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170223215620.411 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
